Parameter,Value,Lower,Higher
Leading edge radius,0.020653116340344,0.01858780470631,0.022718427974378
Px1,0.763313778648406,0.686982400783565,0.839645156513247
Py1,0.033434996681254,0.030091497013129,0.03677849634938
Px2,0.365456834802036,0.328911151321833,0.40200251828224
Py2,0.063451650651182,0.057106485586064,0.0697968157163
Px3,0.115159770302501,0.103643793272251,0.126675747332752
Py3,0.054696157302659,0.049226541572393,0.060165773032925
Px4,0.104423019168967,0.093980717252071,0.114865321085864
Py4,-0.051831182060153,-0.057014300266168,-0.046648063854138
Px5,0.317557613844862,0.285801852460375,0.349313375229348
Py5,-0.064425122209761,-0.070867634430737,-0.057982609988785
Px6,0.720671446904803,0.648604302214322,0.792738591595283
Py6,-0.038775995015277,-0.042653594516805,-0.03489839551375
